Date,Trial,Species,ID,infection.state,Distance,M,S,FL,FE
5/5/19,9,Biomphalaria,200,Y,88,28,0,0,3
5/5/19,9,Biomphalaria,201,Y,99,31,0,0,0
5/5/19,9,Biomphalaria,202,Y,115,31,0,0,0
5/5/19,9,Biomphalaria,203,Y,64,20,4,0,7
5/5/19,9,Biomphalaria,204,Y,105,23,0,3,5
5/5/19,9,Biomphalaria,205,N,25,16,15,0,0
5/5/19,9,Biomphalaria,206,N,6,6,25,0,0
5/5/19,9,Biomphalaria,207,N,48,12,19,0,0
5/5/19,9,Biomphalaria,208,N,33,21,10,0,0
5/5/19,9,Biomphalaria,209,N,106,31,0,0,0
5/5/19,10,Biomphalaria,210,Y,40,9,22,0,0
5/5/19,10,Biomphalaria,211,Y,79,19,0,1,11
5/5/19,10,Biomphalaria,212,Y,76,31,0,0,0
5/5/19,10,Biomphalaria,213,Y,71,29,2,0,0
5/5/19,10,Biomphalaria,214,Y,125,31,0,0,0
5/5/19,10,Biomphalaria,215,N,68,12,7,0,12
5/5/19,10,Biomphalaria,216,N,37,11,10,0,10
5/5/19,10,Biomphalaria,217,N,158,22,0,0,9
5/5/19,10,Biomphalaria,218,N,96,12,0,1,18
5/5/19,10,Biomphalaria,219,N,76,14,0,0,17
5/6/19,11,Biomphalaria,220,Y,111,25,1,3,2
5/6/19,11,Biomphalaria,221,Y,47,30,1,0,0
5/6/19,11,Biomphalaria,222,Y,24,12,1,0,18
5/6/19,11,Biomphalaria,223,Y,116,31,0,0,0
5/6/19,11,Biomphalaria,224,Y,124,31,0,0,0
5/6/19,11,Biomphalaria,225,N,26,10,21,0,0
5/6/19,11,Biomphalaria,226,N,29,20,11,0,0
5/6/19,11,Biomphalaria,227,N,90,18,0,0,13
5/6/19,11,Biomphalaria,228,N,176,27,0,1,3
5/6/19,11,Biomphalaria,229,N,152,31,0,0,0
5/6/19,12,Biomphalaria,230,Y,50,13,0,1,17
5/6/19,12,Biomphalaria,231,Y,31,12,0,0,19
5/6/19,12,Biomphalaria,232,Y,75,27,3,1,0
5/6/19,12,Biomphalaria,233,Y,64,31,0,0,0
5/6/19,12,Biomphalaria,234,Y,38,18,0,13,0
5/6/19,12,Biomphalaria,235,N,155,31,0,0,0
5/6/19,12,Biomphalaria,236,N,131,31,0,0,0
5/6/19,12,Biomphalaria,237,N,71,24,0,0,7
5/6/19,12,Biomphalaria,238,N,68,28,0,3,0
5/6/19,12,Biomphalaria,239,N,156,31,0,0,0
5/7/19,13,Biomphalaria,240,Y,68,29,2,0,0
5/7/19,13,Biomphalaria,241,Y,88,31,0,0,0
5/7/19,13,Biomphalaria,242,Y,101,24,1,0,6
5/7/19,13,Biomphalaria,243,Y,99,31,0,0,0
5/7/19,13,Biomphalaria,244,Y,48,15,0,0,16
5/7/19,13,Biomphalaria,245,N,77,19,0,1,11
5/7/19,13,Biomphalaria,246,N,68,11,0,0,20
5/7/19,13,Biomphalaria,247,N,114,20,0,0,11
5/7/19,13,Biomphalaria,248,N,57,13,0,0,18
5/7/19,13,Biomphalaria,249,N,113,31,0,0,0
5/7/19,14,Biomphalaria,250,Y,30,23,7,1,0
5/7/19,14,Biomphalaria,251,Y,126,30,1,0,0
5/7/19,14,Biomphalaria,252,Y,88,31,0,0,0
5/7/19,14,Biomphalaria,253,Y,91,18,0,5,8
5/7/19,14,Biomphalaria,254,Y,90,31,0,0,0
5/7/19,14,Biomphalaria,255,N,29,14,0,0,17
5/7/19,14,Biomphalaria,256,N,120,31,0,0,0
5/7/19,14,Biomphalaria,257,N,58,31,0,0,0
5/7/19,14,Biomphalaria,258,N,63,17,0,0,14
5/7/19,14,Biomphalaria,259,N,84,31,0,0,0
5/7/19,15,Biomphalaria,260,Y,136,26,0,0,5
5/7/19,15,Biomphalaria,261,Y,146,31,0,0,0
5/7/19,15,Biomphalaria,262,Y,88,26,0,1,4
5/7/19,15,Biomphalaria,263,Y,145,31,0,0,0
5/7/19,15,Biomphalaria,264,Y,97,21,0,0,10
5/7/19,15,Biomphalaria,265,N,0,0,31,0,0
5/7/19,15,Biomphalaria,266,N,52,22,5,4,0
5/7/19,15,Biomphalaria,267,N,121,27,0,0,4
5/7/19,15,Biomphalaria,268,N,107,30,0,1,0
5/7/19,15,Biomphalaria,269,N,74,15,0,0,16
5/8/19,16,Biomphalaria,270,Y,139,21,0,1,9
5/8/19,16,Biomphalaria,271,Y,183,23,0,0,8
5/8/19,16,Biomphalaria,272,Y,96,12,0,0,19
5/8/19,16,Biomphalaria,273,Y,171,31,0,0,0
5/8/19,16,Biomphalaria,274,Y,109,15,0,0,16
5/8/19,16,Biomphalaria,275,N,145,30,0,1,0
5/8/19,16,Biomphalaria,276,N,65,19,0,0,12
5/8/19,16,Biomphalaria,277,N,72,17,0,0,14
5/8/19,16,Biomphalaria,278,N,31,15,0,0,16
5/8/19,16,Biomphalaria,279,N,26,12,0,0,19